what,kind,bundleId,bundleVersion,description,time
started,bundle,com.altera.systemconsole,12.0.0.232,"com.altera.systemconsole",1345175386968
started,bundle,com.altera.systemconsole.designs.plugin,12.0.0.232,"com.altera.systemconsole.designs.plugin",1345175386968
started,bundle,com.altera.systemconsole.scripting,12.0.0.232,"com.altera.systemconsole.scripting",1345175386968
started,bundle,com.altera.utilities,12.0.0.232,"com.altera.utilities",1345175386968
os,sysinfo,,,"win32",1345175386968
arch,sysinfo,,,"x86",1345175386968
ws,sysinfo,,,"win32",1345175386968
locale,sysinfo,,,"zh_CN",1345175386968
processors,sysinfo,,,"2",1345175386968
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1345175386968
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1345175386968
java.specification.name,sysinfo,,,"Java Platform API Specification",1345175386968
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1345175386968
java.specification.version,sysinfo,,,"1.6",1345175386968
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1345175386968
java.version,sysinfo,,,"1.6.0_23",1345175386968
java.vm.info,sysinfo,,,"mixed mode",1345175386968
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1345175386968
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1345175386968
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1345175386968
java.vm.specification.version,sysinfo,,,"1.0",1345175386968
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1345175386968
java.vm.version,sysinfo,,,"19.0-b09",1345175386968
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1345175390453
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1345175421171
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1345175425359
started,bundle,com.altera.sbtgui.ui,12.0.0.232,"com.altera.sbtgui.ui",1345175426687
started,bundle,com.altera.sbtgui.core,12.0.0.232,"com.altera.sbtgui.core",1345175426703
